,Code,Max_Count,Min_Count
0,121,3.0,4.0
1,210,21.0,27.0
2,220,3.0,4.0
3,230,35.0,39.0
4,236,10.0,10.0
5,310,32.0,35.0
6,330,43.0,43.0
7,331,13.0,6.0
8,341,13.0,16.0
9,343,3.0,0.0
10,350,8.0,5.0
11,354,13.0,20.0
12,410,1.0,0.0
13,420,27.0,28.0
14,440,51.0,32.0
15,442,16.0,12.0
16,480,5.0,6.0
17,510,46.0,49.0
18,520,2.0,1.0
19,624,71.0,70.0
20,625,6.0,0.0
21,626,53.0,53.0
22,627,1.0,1.0
23,647,1.0,0.0
24,648,1.0,0.0
25,661,1.0,0.0
26,662,2.0,2.0
27,664,4.0,2.0
28,668,1.0,4.0
29,740,36.0,32.0
30,745,13.0,18.0
31,753,2.0,1.0
32,755,1.0,0.0
33,761,12.0,15.0
34,805,1.0,0.0
35,810,1.0,1.0
36,813,1.0,2.0
37,820,1.0,1.0
38,850,7.0,1.0
39,860,4.0,5.0
40,888,8.0,6.0
41,900,3.0,3.0
42,901,9.0,9.0
43,902,1.0,0.0
44,903,2.0,1.0
45,910,1.0,0.0
46,930,9.0,15.0
47,931,1.0,0.0
48,946,5.0,4.0
49,951,1.0,0.0
50,956,8.0,9.0
51,439,0.0,1.0
52,623,0.0,2.0
53,649,0.0,2.0
54,812,0.0,1.0
55,886,0.0,1.0
